start_year,cds14,enr_9_12_total,race_hisp_pct,race_white_pct,race_asian_incl_fil_pct,race_black_pct,race_urg_pct,race_asian_only_pct
2013,05615640530022,55.0,21.82,70.91,1.82,0.0,21.82,0.0
2013,05615640530055,18.0,16.67,66.67,0.0,11.11,27.78,0.0
2013,05615640531509,1003.0,13.76,79.96,1.5,1.89,17.25,0.6
2013,06100660630020,2.0,0.0,50.0,50.0,0.0,0.0,50.0
2013,06100660630111,5.0,80.0,0.0,0.0,0.0,80.0,0.0
2013,06615980630012,30.0,70.0,16.67,0.0,3.33,83.33,0.0
2013,06615980630046,49.0,59.18,36.73,0.0,0.0,63.27,0.0
2013,06615980631259,347.0,59.94,35.45,0.86,0.58,63.4,0.58
2013,06616060634758,107.0,48.6,48.6,0.0,0.0,50.47,0.0
2013,06616140630087,14.0,85.71,14.29,0.0,0.0,85.71,0.0
2013,06616140635250,391.0,72.89,24.55,0.77,0.51,73.91,0.51
2013,06616220000001,1.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,06616220630038,28.0,92.86,3.57,0.0,0.0,96.43,0.0
2013,06616220637504,364.0,86.81,9.07,2.47,1.1,88.19,2.47
2013,07100740107326,41.0,31.71,31.71,7.32,24.39,56.1,4.88
2013,07100740107334,16.0,31.25,56.25,0.0,12.5,43.75,0.0
2013,07100740107342,19.0,42.11,15.79,15.79,21.05,63.16,0.0
2013,07100740114470,260.0,78.46,0.0,3.46,17.69,96.15,2.31
2013,07100740118208,24.0,25.0,37.5,16.67,16.67,45.83,8.33
2013,07100740120444,164.0,32.32,15.24,10.98,40.24,73.17,10.37
2013,07100740730242,82.0,32.93,7.32,4.88,53.66,86.59,4.88
2013,07100740730614,104.0,39.42,23.08,2.88,30.77,71.15,1.92
2013,07100740731380,1991.0,23.25,54.55,11.4,3.77,27.52,7.03
2013,07100746077168,65.0,15.38,72.31,3.08,9.23,24.62,3.08
2013,07616300000001,28.0,3.57,82.14,10.71,0.0,3.57,7.14
2013,07616300107524,39.0,10.26,74.36,2.56,2.56,12.82,2.56
2013,07616300730283,1319.0,7.13,71.8,11.98,0.91,8.11,10.08
2013,07616300731125,1260.0,6.51,67.38,14.37,1.11,7.62,13.33
2013,07616300733725,1548.0,9.24,67.64,16.09,2.65,12.34,12.34
2013,07616300734244,1125.0,6.58,68.62,14.4,1.24,7.82,13.69
2013,07616480000001,16.0,0.0,37.5,6.25,56.25,56.25,0.0
2013,07616480110494,199.0,31.66,14.57,2.01,46.73,79.4,1.01
2013,07616480117218,648.0,37.96,19.75,19.14,17.13,56.48,9.41
2013,07616480730101,173.0,43.93,21.39,1.16,28.9,74.57,1.16
2013,07616480730259,368.0,37.5,28.53,2.99,25.54,63.86,1.36
2013,07616480730465,2622.0,27.84,18.42,13.62,32.65,61.17,6.14
2013,07616480730481,22.0,36.36,4.55,0.0,54.55,90.91,0.0
2013,07616480730861,1842.0,45.49,25.24,5.86,18.08,64.71,2.71
2013,07616970000001,4.0,0.0,50.0,0.0,50.0,50.0,0.0
2013,07616970737023,484.0,29.34,20.04,22.31,17.98,47.73,10.95
2013,07616970737619,63.0,28.57,34.92,6.35,22.22,50.79,3.17
2013,07617210000001,14.0,7.14,57.14,14.29,14.29,21.43,0.0
