ceeb,campus,year,applicants,admits,denied,app_gpa,adm_gpa,den_gpa
054095,San Diego,2018,17.0,,,3.77,,
051507,Irvine,2018,22.0,7.0,15.0,3.8,4.18,3.6226666666666665
050947,Santa Barbara,2000,20.0,13.0,7.0,3.71,3.82,3.5057142857142867
053105,Merced,2022,28.0,27.0,1.0,3.78,3.82,2.6999999999999886
052746,Irvine,2019,31.0,4.0,27.0,3.88,,
052636,San Diego,2005,6.0,,,3.43,,
054355,Berkeley,2017,21.0,3.0,18.0,3.86,,
053681,Universitywide,2010,30.0,24.0,6.0,,,
051410,Universitywide,2021,19.0,17.0,2.0,3.65,3.67,3.479999999999997
053988,Davis,2011,15.0,9.0,6.0,3.83,4.04,3.5150000000000006
051430,Merced,2009,19.0,18.0,1.0,3.42,3.47,2.520000000000003
050755,San Diego,2021,16.0,4.0,12.0,3.92,,
050770,Santa Barbara,1994,11.0,10.0,1.0,3.49,3.6,2.3900000000000006
053112,Irvine,2019,25.0,8.0,17.0,,,
053676,Riverside,1999,98.0,86.0,12.0,,,
053113,Irvine,2020,73.0,24.0,49.0,3.91,4.24,3.748367346938776
053690,San Diego,2024,13.0,5.0,8.0,3.85,4.14,3.6687500000000006
050704,Santa Cruz,2012,14.0,8.0,6.0,3.71,3.84,3.5366666666666666
004579,Santa Barbara,2005,79.0,56.0,23.0,,,
050228,Santa Cruz,2013,17.0,5.0,12.0,3.34,3.7,3.19
052723,Davis,2002,55.0,39.0,16.0,3.63,3.85,3.09375
051009,Santa Barbara,2001,82.0,46.0,36.0,3.47,3.7,3.176111111111111
050676,Davis,1997,8.0,7.0,1.0,3.75,3.85,3.0500000000000007
050162,Universitywide,2022,10.0,7.0,3.0,3.92,3.91,3.943333333333334
051761,Santa Barbara,2014,8.0,3.0,5.0,3.67,,
052057,San Diego,2007,16.0,5.0,11.0,3.56,4.15,3.291818181818182
051161,Irvine,2025,37.0,4.0,33.0,3.44,,
053565,Berkeley,1995,19.0,7.0,12.0,3.66,4.14,3.380000000000001
053615,Davis,2018,39.0,20.0,19.0,3.63,3.92,3.3247368421052625
054555,Irvine,2025,24.0,3.0,21.0,3.46,,
052274,Santa Cruz,2013,25.0,7.0,18.0,3.28,3.61,3.151666666666667
053158,San Diego,2007,173.0,90.0,83.0,3.78,4.03,3.508915662650601
052310,Davis,1998,11.0,5.0,6.0,3.55,3.87,3.2833333333333328
053675,Merced,2005,17.0,17.0,0.0,3.4,3.4,
051825,Davis,2023,43.0,19.0,24.0,3.77,4.18,3.445416666666668
052826,Berkeley,2016,5.0,4.0,1.0,4.3,,
053808,Riverside,2011,10.0,5.0,5.0,3.17,3.45,2.8899999999999997
051360,Los Angeles,1997,70.0,18.0,52.0,3.63,3.95,3.519230769230769
050784,Los Angeles,2015,79.0,16.0,63.0,3.95,4.27,3.868730158730159
051569,Santa Barbara,2010,39.0,10.0,29.0,3.4,3.83,3.2517241379310344
051788,Santa Barbara,2024,72.0,17.0,55.0,3.41,4.07,3.2060000000000004
052902,Berkeley,2006,29.0,8.0,21.0,3.74,4.02,3.6333333333333337
050771,Santa Cruz,2018,45.0,,,3.34,,
050942,Merced,2023,19.0,18.0,1.0,3.54,3.58,2.8200000000000074
004690,Merced,2023,64.0,46.0,18.0,,,
053325,Merced,2025,55.0,51.0,4.0,3.74,3.82,2.720000000000006
051335,Santa Barbara,2024,159.0,48.0,111.0,4.02,4.31,3.894594594594594
050379,Riverside,2005,38.0,34.0,4.0,3.38,3.43,2.9549999999999983
004056,Universitywide,2021,15.0,9.0,6.0,,,
051685,Riverside,2023,40.0,24.0,16.0,,,
050092,Merced,2018,25.0,16.0,9.0,3.44,3.58,3.191111111111111
051402,Merced,2005,9.0,8.0,1.0,3.61,3.57,3.9300000000000033
053335,Riverside,2005,7.0,6.0,1.0,,,
052379,Santa Barbara,2015,75.0,17.0,58.0,3.71,4.11,3.592758620689655
053685,San Diego,2017,8.0,3.0,5.0,3.5,,
053105,Santa Barbara,1995,10.0,9.0,1.0,3.57,3.67,2.6699999999999946
050188,Universitywide,2016,43.0,19.0,24.0,3.39,3.67,3.1683333333333334
050663,Merced,2006,13.0,13.0,0.0,3.47,3.47,
053077,Davis,2021,47.0,19.0,28.0,3.82,4.09,3.6367857142857143
053879,Los Angeles,2025,34.0,,,3.8,,
051283,Merced,2021,46.0,39.0,7.0,3.57,3.71,2.79
052533,Riverside,1997,34.0,30.0,4.0,,,
004273,Merced,2022,34.0,25.0,9.0,,,
053635,Irvine,2024,128.0,33.0,95.0,3.79,4.19,3.6510526315789478
004083,Berkeley,1995,52.0,18.0,34.0,,,
054345,Santa Barbara,2015,10.0,3.0,7.0,3.8,,
050500,Riverside,2024,95.0,69.0,26.0,3.74,3.92,3.262307692307692
053533,Riverside,2010,7.0,5.0,2.0,3.56,3.77,3.035
052484,Los Angeles,2014,10.0,,,3.74,,
004358,Los Angeles,2006,9.0,5.0,4.0,,,
052060,Merced,2023,7.0,6.0,1.0,3.79,3.85,3.4299999999999997
051025,Berkeley,2014,25.0,,,,,
053163,Santa Barbara,2023,195.0,49.0,146.0,3.98,4.26,3.886027397260274
052730,Santa Cruz,1998,43.0,31.0,12.0,3.35,3.52,2.910833333333334
053087,San Diego,2003,92.0,45.0,47.0,3.75,4.08,3.4340425531914893
054630,Riverside,2000,20.0,15.0,5.0,,,
054413,Santa Cruz,2017,,,,3.85,,
053158,Riverside,1999,96.0,85.0,11.0,,,
052655,Santa Barbara,2021,38.0,16.0,22.0,3.62,3.98,3.358181818181818
053462,Los Angeles,1994,72.0,43.0,29.0,3.73,3.97,3.3741379310344826
052527,Santa Barbara,2009,31.0,18.0,13.0,,,
052536,Davis,1994,25.0,19.0,6.0,3.79,3.92,3.3783333333333325
050334,Irvine,2013,19.0,6.0,13.0,3.64,3.92,3.5107692307692306
050109,Santa Cruz,2022,23.0,11.0,12.0,3.81,4.1,3.544166666666667
052018,Santa Barbara,2004,22.0,15.0,7.0,3.76,3.98,3.288571428571428
050810,Santa Barbara,2021,11.0,6.0,5.0,3.47,3.8,3.0740000000000007
052760,Universitywide,2003,22.0,20.0,2.0,3.72,3.78,3.1200000000000045
052955,Irvine,2025,25.0,4.0,21.0,,,
052425,Riverside,2003,8.0,8.0,0.0,,,
052986,Irvine,2025,266.0,160.0,106.0,4.01,4.15,3.7986792452830174
054970,Davis,2021,31.0,14.0,17.0,,,
004994,Los Angeles,2012,5.0,,,,,
053293,Universitywide,2024,75.0,50.0,25.0,4.0,4.11,3.779999999999999
054620,San Diego,2022,22.0,,,4.09,,
052015,San Diego,2021,58.0,18.0,40.0,3.84,4.28,3.6420000000000003
052437,San Diego,1999,6.0,,,3.78,,
052742,Davis,1997,13.0,8.0,5.0,3.47,3.57,3.31
050175,Santa Barbara,1997,14.0,11.0,3.0,3.75,3.83,3.4566666666666657
004604,Berkeley,2012,525.0,111.0,414.0,,,
053643,San Diego,2011,11.0,,,3.55,,
052710,Universitywide,2009,52.0,48.0,4.0,3.79,3.82,3.430000000000007
050870,Los Angeles,2019,7.0,,,3.98,,
053937,Berkeley,2013,34.0,9.0,25.0,3.94,4.22,3.839200000000001
050181,Berkeley,2008,12.0,4.0,8.0,3.87,,
053325,Santa Barbara,1998,13.0,8.0,5.0,3.54,3.73,3.2360000000000007
053927,San Diego,2008,10.0,5.0,5.0,3.78,3.92,3.6399999999999992
054141,Los Angeles,2012,25.0,7.0,18.0,3.81,4.14,3.681666666666667
050260,Irvine,2004,41.0,10.0,31.0,,,
004002,Santa Cruz,2012,65.0,50.0,15.0,,,
004501,Los Angeles,2008,54.0,20.0,34.0,,,
052420,Irvine,2005,20.0,15.0,5.0,,,
054885,Irvine,2021,,,,3.58,,
052970,Berkeley,2018,429.0,53.0,376.0,3.97,4.22,3.9347606382978726
004406,Irvine,2023,65.0,28.0,37.0,,,
004108,Davis,2012,19.0,14.0,5.0,,,
053066,San Diego,2020,8.0,,,3.55,,
053249,Riverside,2007,25.0,14.0,11.0,3.31,3.41,3.1827272727272726
054232,Universitywide,2023,,,,3.78,3.67,
051985,San Diego,2005,40.0,22.0,18.0,3.85,4.11,3.532222222222222
052117,Universitywide,2022,182.0,114.0,68.0,3.91,4.0,3.7591176470588237
050472,Universitywide,2001,115.0,97.0,18.0,3.74,3.83,3.2550000000000017
053983,Los Angeles,2010,31.0,4.0,27.0,3.24,,
052192,Santa Cruz,1996,24.0,23.0,1.0,,,
053065,Irvine,2004,15.0,13.0,2.0,4.1,4.11,4.034999999999993
004490,Universitywide,2012,161.0,113.0,48.0,,,
052060,Santa Barbara,1996,29.0,24.0,5.0,3.42,3.48,3.1319999999999992
053904,Universitywide,2022,35.0,22.0,13.0,3.7,3.85,3.446153846153846
050320,San Diego,2019,127.0,39.0,88.0,3.89,4.15,3.7747727272727274
004512,Riverside,2019,137.0,96.0,41.0,,,
051160,Santa Barbara,1998,12.0,6.0,6.0,3.57,3.78,3.3599999999999994
052908,Berkeley,2019,43.0,,,3.85,,
053010,Irvine,2004,87.0,65.0,22.0,,,
