entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,denom,n_first,n_second,n_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2019,first_gen_status,first_gen,1,1.38,3.69,7060,4122,947,193,58.39,13.41,2.73
FR,All,2019,first_gen_status,first_gen,2,3.69,3.91,5606,3883,661,114,69.27,11.79,2.03
FR,All,2019,first_gen_status,first_gen,3,3.91,4.0,4252,3261,428,63,76.69,10.07,1.48
FR,All,2019,first_gen_status,not_first_gen,1,1.38,3.69,7140,4767,923,191,66.76,12.93,2.68
FR,All,2019,first_gen_status,not_first_gen,2,3.69,3.91,8307,6491,843,155,78.14,10.15,1.87
FR,All,2019,first_gen_status,not_first_gen,3,3.91,4.0,10954,9303,849,127,84.93,7.75,1.16
FR,All,2019,overall,overall,1,1.38,3.69,14490,9048,1917,395,62.44,13.23,2.73
FR,All,2019,overall,overall,2,3.69,3.91,14194,10580,1536,273,74.54,10.82,1.92
FR,All,2019,overall,overall,3,3.91,4.0,15489,12791,1303,194,82.58,8.41,1.25
FR,All,2019,pell_status,non_pell,1,1.38,3.69,7405,4813,937,185,65.0,12.65,2.5
FR,All,2019,pell_status,non_pell,2,3.69,3.91,8465,6559,834,144,77.48,9.85,1.7
FR,All,2019,pell_status,non_pell,3,3.91,4.0,10900,9208,822,116,84.48,7.54,1.06
FR,All,2019,pell_status,pell,1,1.38,3.69,7085,4235,980,210,59.77,13.83,2.96
FR,All,2019,pell_status,pell,2,3.69,3.91,5729,4021,702,129,70.19,12.25,2.25
FR,All,2019,pell_status,pell,3,3.91,4.0,4589,3583,481,78,78.08,10.48,1.7
FR,All,2020,ethnicity,aian,1,1.1,3.67,58,24,8,0,41.38,13.79,0.0
FR,All,2020,ethnicity,aian,2,3.67,3.91,59,43,7,0,72.88,11.86,0.0
FR,All,2020,ethnicity,aian,3,3.91,4.0,58,47,4,0,81.03,6.9,0.0
FR,All,2020,ethnicity,asian,1,1.1,3.67,5217,3576,688,0,68.55,13.19,0.0
FR,All,2020,ethnicity,asian,2,3.67,3.91,5928,4744,582,0,80.03,9.82,0.0
FR,All,2020,ethnicity,asian,3,3.91,4.0,6232,5521,359,0,88.59,5.76,0.0
FR,All,2020,ethnicity,black,1,1.1,3.67,941,491,149,0,52.18,15.83,0.0
FR,All,2020,ethnicity,black,2,3.67,3.91,570,375,68,0,65.79,11.93,0.0
FR,All,2020,ethnicity,black,3,3.91,4.0,403,298,45,0,73.95,11.17,0.0
FR,All,2020,ethnicity,hispanic_latino,1,1.1,3.67,4965,2542,633,0,51.2,12.75,0.0
FR,All,2020,ethnicity,hispanic_latino,2,3.67,3.91,3899,2529,443,0,64.86,11.36,0.0
FR,All,2020,ethnicity,hispanic_latino,3,3.91,4.0,2837,2161,267,0,76.17,9.41,0.0
FR,All,2020,ethnicity,international,1,1.1,3.67,1367,847,210,0,61.96,15.36,0.0
FR,All,2020,ethnicity,international,2,3.67,3.91,1436,1027,153,0,71.52,10.65,0.0
FR,All,2020,ethnicity,international,3,3.91,4.0,1526,1170,138,0,76.67,9.04,0.0
FR,All,2020,ethnicity,white,1,1.1,3.67,2254,1393,314,0,61.8,13.93,0.0
FR,All,2020,ethnicity,white,2,3.67,3.91,2806,2172,262,0,77.41,9.34,0.0
FR,All,2020,ethnicity,white,3,3.91,4.0,3739,3177,272,0,84.97,7.27,0.0
FR,All,2020,first_gen_status,first_gen,1,1.1,3.67,7095,3842,892,0,54.15,12.57,0.0
FR,All,2020,first_gen_status,first_gen,2,3.67,3.91,5867,3951,657,0,67.34,11.2,0.0
