ceeb,name,city,county
053078,Archbishop Mitty High School,San Jose,Santa Clara
053080,Bellarmine College Preparatory,San Jose,Santa Clara
053082,Branham High School,San Jose,Santa Clara
053083,Del Mar High School,San Jose,Santa Clara
053087,Independence High School,San Jose,Santa Clara
053088,Henry T Gunderson High School,San Jose,Santa Clara
053090,James Lick High School,San Jose,Santa Clara
053091,Leland High School,San Jose,Santa Clara
053092,Leigh High School,San Jose,Santa Clara
053094,Mount Pleasant High School,San Jose,Santa Clara
053095,Notre Dame High School,San Jose,Santa Clara
053096,Pioneer High School,San Jose,Santa Clara
053097,Presentation High School,San Jose,Santa Clara
053098,San Jose High School,San Jose,Santa Clara
053099,Oak Grove High School,San Jose,Santa Clara
053100,Silver Creek High School,San Jose,Santa Clara
053103,Westmont High School,Campbell,Santa Clara
053105,Willow Glen High School,San Jose,Santa Clara
053106,Santa Teresa High School,San Jose,Santa Clara
053107,William C Overfelt High School,San Jose,Santa Clara
053110,West Park High School,Roseville,Placer
053112,Saint Margarets Episcopal School,San Juan Capistrano,Orange
053113,Yerba Buena High School,San Jose,Santa Clara
053114,Capistrano Valley Christian School,San Juan Capistrano,Orange
053120,San Leandro High School,San Leandro,Alameda
053125,Arroyo High School,San Lorenzo,Alameda
053130,San Lorenzo High School,San Lorenzo,Alameda
053133,Anzar High School,San Juan Bautista,San Benito
053140,Mission College Prep Cath Hs,San Luis Obispo,San Luis Obispo
053142,Harker Upper School,San Jose,Santa Clara
053145,San Luis Obispo High School,San Luis Obispo,San Luis Obispo
053149,Tesoro High School,Rancho San Margarit,Orange
053158,San Marino High School,San Marino,Los Angeles
053161,Southwestern Academy,San Marino,Los Angeles
053163,Aragon High School,San Mateo,San Mateo
053164,Downtown Colg Prep El Primero,San Jose,Santa Clara
053165,Hillsdale High School,San Mateo,San Mateo
053169,Evergreen Valley High School,San Jose,Santa Clara
053170,Matilda Torres High School,Madera,Madera
053173,Kehillah School,Palo Alto,Santa Clara
053175,San Mateo High School,San Mateo,San Mateo
053180,Junipero Serra High School,San Mateo,San Mateo
053195,San Pedro High School,San Pedro,Los Angeles
053197,Jserra Catholic High School,San Juan Capistrano,Orange
053200,Mary Star of the Sea High School,San Pedro,Los Angeles
053204,Middle College High School,San Pablo,Contra Costa
053205,San Domenico School,San Anselmo,Marin
053208,Latino College Prep Academy,San Jose,Santa Clara
053209,San Diego Business Leadership,San Diego,San Diego
053212,Marin Academy,San Rafael,Marin
053215,Marin Catholic High School,Kentfield,Marin
