entry,campus,cohort,group_type,subgroup,band,band_lo,band_hi,c_first,c_second,c_third,r_first_pct,r_second_pct,r_third_pct
FR,All,2017,first_gen_status,first_gen,2,3.63,3.88,4089,784,127,,,
FR,All,2017,first_gen_status,first_gen,3,3.88,4.0,3352,463,75,,,
FR,All,2017,first_gen_status,not_first_gen,1,0.0,3.63,4543,933,197,,,
FR,All,2017,first_gen_status,not_first_gen,2,3.63,3.88,6292,818,138,,,
FR,All,2017,first_gen_status,not_first_gen,3,3.88,4.0,8684,787,116,,,
FR,All,2017,pell_status,non_pell,1,0.0,3.63,4543,902,192,,,
FR,All,2017,pell_status,non_pell,2,3.63,3.88,6300,808,134,,,
FR,All,2017,pell_status,non_pell,3,3.88,4.0,8659,755,112,,,
FR,All,2017,pell_status,pell,1,0.0,3.63,4314,1072,208,,,
FR,All,2017,pell_status,pell,2,3.63,3.88,4288,828,133,,,
FR,All,2017,pell_status,pell,3,3.88,4.0,3598,513,82,,,
FR,All,2018,ethnicity,aian,1,0.0,3.68,47,14,1,,,
FR,All,2018,ethnicity,aian,2,3.68,3.9,41,6,1,,,
FR,All,2018,ethnicity,aian,3,3.9,4.0,46,8,0,,,
FR,All,2018,ethnicity,asian,1,0.0,3.68,3433,513,117,,,
FR,All,2018,ethnicity,asian,2,3.68,3.9,4314,482,85,,,
FR,All,2018,ethnicity,asian,3,3.9,4.0,5401,473,66,,,
FR,All,2018,ethnicity,black,1,0.0,3.68,490,126,37,,,
FR,All,2018,ethnicity,black,2,3.68,3.9,323,67,27,,,
FR,All,2018,ethnicity,black,3,3.9,4.0,318,42,12,,,
FR,All,2018,ethnicity,hispanic_latino,1,0.0,3.68,2622,677,161,,,
FR,All,2018,ethnicity,hispanic_latino,2,3.68,3.9,2250,495,94,,,
FR,All,2018,ethnicity,hispanic_latino,3,3.9,4.0,2130,317,63,,,
FR,All,2018,ethnicity,international,1,0.0,3.68,982,173,47,,,
FR,All,2018,ethnicity,international,2,3.68,3.9,1069,168,44,,,
FR,All,2018,ethnicity,international,3,3.9,4.0,1453,173,50,,,
FR,All,2018,ethnicity,white,1,0.0,3.68,1296,343,64,,,
FR,All,2018,ethnicity,white,2,3.68,3.9,1941,268,41,,,
FR,All,2018,ethnicity,white,3,3.9,4.0,3381,358,49,,,
FR,All,2018,first_gen_status,first_gen,1,0.0,3.68,4145,964,219,,,
FR,All,2018,first_gen_status,first_gen,2,3.68,3.9,3809,718,127,,,
FR,All,2018,first_gen_status,first_gen,3,3.9,4.0,3586,494,93,,,
FR,All,2018,first_gen_status,not_first_gen,1,0.0,3.68,4718,904,207,,,
FR,All,2018,first_gen_status,not_first_gen,2,3.68,3.9,6243,785,160,,,
FR,All,2018,first_gen_status,not_first_gen,3,3.9,4.0,9435,899,146,,,
FR,All,2018,pell_status,non_pell,1,0.0,3.68,4787,930,195,,,
FR,All,2018,pell_status,non_pell,2,3.68,3.9,6292,808,147,,,
FR,All,2018,pell_status,non_pell,3,3.9,4.0,9326,882,127,,,
FR,All,2018,pell_status,pell,1,0.0,3.68,4264,976,243,,,
FR,All,2018,pell_status,pell,2,3.68,3.9,3938,726,148,,,
FR,All,2018,pell_status,pell,3,3.9,4.0,3918,538,119,,,
FR,All,2019,ethnicity,aian,1,1.38,3.69,33,9,1,,,
FR,All,2019,ethnicity,aian,2,3.69,3.91,43,6,2,,,
FR,All,2019,ethnicity,aian,3,3.91,4.0,43,7,1,,,
FR,All,2019,ethnicity,asian,1,1.38,3.69,3448,561,129,,,
FR,All,2019,ethnicity,asian,2,3.69,3.91,4363,487,96,,,
FR,All,2019,ethnicity,asian,3,3.91,4.0,5329,433,53,,,
FR,All,2019,ethnicity,black,1,1.38,3.69,437,126,22,,,
FR,All,2019,ethnicity,black,2,3.69,3.91,346,73,10,,,
FR,All,2019,ethnicity,black,3,3.91,4.0,288,39,7,,,
FR,All,2019,ethnicity,hispanic_latino,1,1.38,3.69,2748,715,146,,,
FR,All,2019,ethnicity,hispanic_latino,2,3.69,3.91,2417,491,83,,,
FR,All,2019,ethnicity,hispanic_latino,3,3.91,4.0,2109,310,50,,,
FR,All,2019,ethnicity,international,1,1.38,3.69,817,160,43,,,
FR,All,2019,ethnicity,international,2,3.69,3.91,1107,146,39,,,
FR,All,2019,ethnicity,international,3,3.91,4.0,1310,165,39,,,
FR,All,2019,ethnicity,white,1,1.38,3.69,1411,297,45,,,
FR,All,2019,ethnicity,white,2,3.69,3.91,2067,298,37,,,
FR,All,2019,ethnicity,white,3,3.91,4.0,3282,308,39,,,
